一	 一:single
丁	 一:Top    亅:Bottom
七	 ㇀:Center    乚:Center
万	 一:Top    丿:Left    𠃌:Right
丈	 丈:single
三	 一:Top    二:Bottom
上	 ⺊:Top    一:Bottom
下	 一:Top    卜:Bottom
不	 不:single
与	 与:single
且	 且:single
世	 世:single
丘	 丘:single
丙	 一:Top    内:Bottom
両	 一:Top    冂Center:    山:Center
並	 䒑:Top    业:Bottom
中	 口:Center    丨:Center
串	 吕:Center    丨:Center
丸	 九:Center    丶:Center
丹	 丹:single
主	 丶:Top    王:Bottom
丼	 井:Outside    丶:Inside
久	 久:single
乏	 丿:Top    之:Bottom
乗	 乗:single
乙	 乙:single
九	 九:single
乞	 𠂉:Top    乙:Bottom
乱	 舌:Left    乚:Right
乳	 孚:Left    乚:Right
乾	 𠦝:Left    乞:Right
亀	 𠂊:Top    日Center:    电:Center
了	 乛:Top    亅:Bottom
予	 龴:Top    𠄐:Bottom
争	 ⿱𠂊⿻⿻コ一亅
事	 事:single
二	 一:Top    一:Bottom
互	 一:Top    彑:Bottom
五	 一:Top    𫝀:Bottom
井	 井:single
亜	 亜:single
亡	 亠:Top    𠃊:Bottom
交	 亠:Top    父:Bottom
享	 亠:ParallelTop    口:ParallelCenter    子:ParallelBottom
京	 亠:ParallelTop    口:ParallelCenter    小:ParallelBottom
亭	 亠:Top    口ParallelTop:    冖:ParallelCenter丁:ParallelBottom
人	 人:single
仁	 亻:Left    二:Right
今	 亼:Top    ㇇:Bottom
介	 人:Top    丿:Left    丨:Right
仏	 亻:Left    厶:Right
仕	 亻:Left    士:Right
他	 亻:Left    也:Right
付	 亻:Left    寸:Right
仙	 亻:Left    山:Right
代	 亻:Left    弋:Right
令	 ⿱亼⿱𠃌丨
以	 以:single
仮	 亻:Left    反:Right
仰	 亻:Left    卬:Right
仲	 亻:Left    中:Right
件	 亻:Left    牛:Right
任	 亻:Left    壬:Right
企	 人:Top    止:Bottom
伎	 亻:Left    支:Right
伏	 亻:Left    犬:Right
伐	 亻:Left    戈:Right
休	 亻:Left    木:Right
会	 人:Top    云:Bottom
伝	 亻:Left    云:Right
伯	 亻:Left    白:Right
伴	 亻:Left    半:Right
伸	 亻:Left    申:Right
伺	 亻:Left    司:Right
似	 亻:Left    以:Right
但	 亻:Left    旦:Right
位	 亻:Left    立:Right
低	 亻:Left    氐:Right
住	 亻:Left    主:Right
佐	 亻:Left    左:Right
体	 亻:Left    本:Right
何	 亻:Left    可:Right
余	 亼:Top    朩:Bottom
作	 亻:Left    乍:Right
佳	 亻:Left    圭:Right
併	 亻:Left    并:Right
使	 亻:Left    吏:Right
例	 亻:Left    列:Right
侍	 亻:Left    寺:Right
供	 亻:Left    共:Right
依	 亻:Left    衣:Right
価	 亻:Left    覀:Right
侮	 亻:Left    毎:Right
侯	 亻:Left    ユ:Top    矢:Bottom
侵	 亻:Left    𠬶:Right
侶	 亻:Left    呂:Right
便	 亻:Left    更:Right
係	 亻:Left    系:Right
促	 亻:Left    足:Right
俊	 亻:Left    夋:Right
俗	 亻:Left    谷:Right
保	 亻:Left    呆:Right
信	 亻:Left    言:Right
修	 亻:VerticalLeft    丨:VerticalCenter    㣊:VerticalRight
俳	 亻:Left    非:Right
俵	 亻:Left    表:Right
俸	 亻:Left    奉:Right
俺	 亻:Left    奄:Right
倉	 ⿱亼⿸⿴尸一口
個	 亻:Left    固:Right
倍	 亻:Left    咅:Right
倒	 亻:Left    到:Right
候	 ⿰⿰亻丨⿱ユ矢
借	 亻:Left    昔:Right
倣	 亻:Left    放:Right
値	 亻:Left    直:Right
倫	 亻:Left    侖:Right
倹	 亻:Left    㑒:Right
偉	 亻:Left    韋:Right
偏	 亻:Left    扁:Right
停	 亻:Left    亭:Right
健	 亻:Left    建:Right
側	 亻:Left    則:Right
偵	 亻:Left    貞:Right
偶	 亻:Left    禺:Right
偽	 亻:Left    為:Right
傍	 亻:Left    旁:Right
傑	 亻:Left    桀:Right
傘	 人:Top    十Center:    𠈌:Center
備	 ⿰亻⿱卄⿸厂用
催	 亻:Left    崔:Right
傲	 亻:Left    敖:Right
債	 亻:Left    責:Right
傷	 亻:Left    𬀷:Right
傾	 亻:Left    頃:Right
